ammenity,location,name,price,type,view,Column1,Cleaned_name,Number of Ammenity
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, Covered car park, Mini Market",Setapak,"👩🏻‍🦰(Female unit) Single Room at The Hamilton, Wangsa Maju",RM 680.00,Single Room,112,Views,Female unit Single Room at The Hamilton Wangsa Maju,12
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near MRT, Near Bus stop, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Petaling Jaya,"Single Room at Casa Residenza, Kota Damansara",RM 500.00,Single Room,455,Views,Single Room at Casa Residenza Kota Damansara,16
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, Multi-purpose hall, Playground, Covered car park, Surau, Mini Market",Malaysia,🔥🔥ZERO DEPOSIT NEEDED🔥🔥 LIMITED ROOM FOR RENT IN ICITY NEW UNIT!!!!!!!🔥🔥,RM 688.00,Middle Room,9,Views,ZERO DEPOSIT NEEDED LIMITED ROOM FOR RENT IN ICITY NEW UNIT,14
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Share Bathroom",Malaysia,"Single Room at Subang Jaya, Selangor",RM 550.00,Single Room,3,Views,Single Room at Subang Jaya Selangor,4
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Near LRT / MRT, 24 hours security, Covered car park, Mini Market",Petaling Jaya,"Middle Room at Seri Utama, Nsk trade city,Strand Mall,Mrt Kota Damansara",RM 500.00,Middle Room,96,Views,Middle Room at Seri Utama Nsk trade cityStrand MallMrt Kota Damansara,7
"Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Near LRT, Near Bus stop",Puchong,"RENT 0% Deposit. Single Room at Taman Wawasan, Pusat Bandar Puchong",RM 480.00,Single Room,28,Views,RENT 0 Deposit. Single Room at Taman Wawasan Pusat Bandar Puchong,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Share Bathroom, Private Bathroom, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near MRT, Near Train, Near Bus stop, Playground, Covered car park",Petaling Jaya,Free One Month Room Rental,RM 680.00,Single Room,32,Views,Free One Month Room Rental,15
"Washing Machine, Near Bus stop, Swimming Pools, Gymnasium Facility, Surau, Mini Market",Petaling Jaya,"Middle Room at Palm Spring, Kota Damansara",RM 650.00,Middle Room,55,Views,Middle Room at Palm Spring Kota Damansara,6
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Near KTM / LRT, Near LRT / MRT, Near KTM, Near LRT, Near MRT, Near Train, Near Bus stop, 24 hours security, OKU Friendly, Playground, Covered car park, Mini Market",Selangor,WHY KEEP WAITING FOR A ROOM ❓❓❓ I GOT THE BEST FOR YOU MIDDLE WITH LOW DEPOSIT AT SS2 PETALING JAYA,RM 550.00,Middle Room,8,Views,WHY KEEP WAITING FOR A ROOM  I GOT THE BEST FOR YOU MIDDLE WITH LOW DEPOSIT AT SS2 PETALING JAYA,16
"Air-Conditioning, Washing Machine, Wifi / Internet Access, Cooking Allowed, Private Bathroom, 24 hours security, Swimming Pools, Gymnasium Facility, OKU Friendly, Multi-purpose hall, Playground, Mini Market",Malaysia,5 mins drive to Mont Kiara center medium room full furnished,RM 850.00,Middle Room,157,Views,5 mins drive to Mont Kiara center medium room full furnished,12
